No.1,block,with,time,(ms):,19.0727,
No.2,block,with,time,(ms):,8.77161,
No.3,block,with,time,(ms):,6.98289,
No.4,block,with,time,(ms):,0.116139,
No.5,block,with,time,(ms):,4.38884,
No.6,block,with,time,(ms):,3.97297,
No.7,block,with,time,(ms):,0.01954,
No.8,block,with,time,(ms):,2.50134,
No.9,block,with,time,(ms):,1.23456,
No.10,block,with,time,(ms):,0.513768,47.574357
No.1,block,with,time,(ms):,18.952,
No.2,block,with,time,(ms):,8.73407,
No.3,block,with,time,(ms):,6.82571,
No.4,block,with,time,(ms):,0.13437,
No.5,block,with,time,(ms):,4.7305,
No.6,block,with,time,(ms):,3.78624,
No.7,block,with,time,(ms):,0.025069,
No.8,block,with,time,(ms):,2.49568,
No.9,block,with,time,(ms):,1.23583,
No.10,block,with,time,(ms):,0.513868,
